City,Country Code,Latitude,Longitude,URL,Name
gravdal,NO,72.4982705830626,11.854452487317502,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=gravdal,Norway
mehamn,NO,85.01407110006156,29.575415070002123,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mehamn,Norway
sorland,NO,74.27469562601763,2.9564804047350037,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=sorland,Norway
berlevag,NO,74.21008724591303,30.435522241951674,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=berlevag,Norway
kautokeino,NO,68.00935726719857,21.98618689032176,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kautokeino,Norway
oksfjord,NO,69.34288974493984,22.257387653191557,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=oksfjord,Norway
sunndalsora,NO,62.63363744663303,8.539572234017129,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=sunndalsora,Norway
vardo,NO,81.69716543142758,35.71329971090472,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=vardo,Norway
havoysund,NO,74.67249711585038,23.325102248577025,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=havoysund,Norway
beisfjord,NO,67.29217522210544,17.94907017795012,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=beisfjord,Norway
cape town,ZA,-46.31028248546279,10.391164923965135,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=cape town,South Africa
east london,ZA,-55.71748878102372,45.6071675186395,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=east london,South Africa
hermanus,ZA,-37.63107129821364,19.093747333791327,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hermanus,South Africa
port alfred,ZA,-88.41325910139594,52.23242251774417,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port alfred,South Africa
umkomaas,ZA,-30.782297602906638,31.958442764884524,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=umkomaas,South Africa
port shepstone,ZA,-34.22723731178299,35.910574804661564,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port shepstone,South Africa
