,City,Country Code,Latitude,Longitude,Name,City URL
0,tame,CO,6.263735146046741,-71.73898122383486,Colombia,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tame
1,albania,CO,11.261536348239432,-72.64965975704924,Colombia,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=albania
2,puerto leguizamo,CO,0.4097648373004148,-73.34477934051596,Colombia,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=puerto leguizamo
3,mitu,CO,0.7281242359989477,-69.34248653659085,Colombia,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mitu
4,inirida,CO,2.518260450455472,-68.41268261562152,Colombia,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=inirida
5,norman wells,CA,62.6463680417173,-124.47675184512829,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=norman wells
6,dolbeau,CA,50.964499016724005,-71.2065200739188,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=dolbeau
7,tuktoyaktuk,CA,85.63406421339297,-119.74985069923838,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tuktoyaktuk
8,louisbourg,CA,45.13679031727105,-59.49358868442874,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=louisbourg
9,shaunavon,CA,49.676293107260726,-108.32417072637446,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=shaunavon
10,kenora,CA,52.08871372091186,-94.07073630085405,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kenora
11,vernon,CA,50.31266260671703,-119.64762307741941,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=vernon
12,yellowknife,CA,73.48336774307228,-116.87525896262423,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=yellowknife
13,aklavik,CA,73.35332864916762,-141.98304151707762,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=aklavik
14,clyde river,CA,71.52758493047854,-75.01385529513978,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=clyde river
15,whitehorse,CA,59.673800694955816,-134.5859271632429,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=whitehorse
16,kindersley,CA,51.041137844873475,-110.09614206739387,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kindersley
17,torbay,CA,42.05185326477576,-45.026504950631306,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=torbay
18,golden,CA,52.170578863137514,-117.00641930291046,Canada,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=golden
