City,Country Code,Latitude,Longitude,URL,Name
yellowknife,CA,68.62713412645905,-110.40356983103037,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=yellowknife,Canada
attawapiskat,CA,60.33017403909756,-84.5920098425538,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=attawapiskat,Canada
torbay,CA,47.26583636307055,-45.79411553827495,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=torbay,Canada
the pas,CA,53.70670133656222,-100.06459623004444,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=the pas,Canada
iqaluit,CA,62.72322750998558,-73.03923858485099,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=iqaluit,Canada
tuktoyaktuk,CA,89.72374983246974,-143.33867617937196,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tuktoyaktuk,Canada
hay river,CA,62.76501042395387,-119.77226959754242,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hay river,Canada
chapais,CA,53.55414611364748,-73.77783152625193,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=chapais,Canada
port hardy,CA,51.80720639269174,-128.57723224063324,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port hardy,Canada
norman wells,CA,72.76734492629384,-119.96116608172494,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=norman wells,Canada
thompson,CA,65.94304149693264,-96.02692678427618,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=thompson,Canada
haines junction,CA,63.32085115794308,-139.03188849843764,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=haines junction,Canada
fort nelson,CA,57.42603618809764,-123.0724470107512,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=fort nelson,Canada
pangnirtung,CA,69.53481531140378,-65.08372755490667,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=pangnirtung,Canada
clyde river,CA,67.79446143137537,-76.17383347163825,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=clyde river,Canada
rimbey,CA,52.55822097461149,-114.06078012583124,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=rimbey,Canada
sept-iles,CA,55.45566008377068,-65.77279636198966,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=sept-iles,Canada
